001.txt	117275	16945
002.txt	6835199	193429
003.txt	1367999	84435
004.txt	30988	36565
005.txt	2041506	113970
006.txt	4079	7305
007.txt	3412	6179
008.txt	7485	13604
009.txt	3772	6908
010.txt	4833	8860
011.txt	2883	5434
012.txt	21985	31075
013.txt	24346	34550
014.txt	55897	72509
015.txt	90390	112772
016.txt	135285	162893
017.txt	221245	253241
018.txt	391595	433646
019.txt	940745	974479
020.txt	10556	17639
021.txt	1859258	1723270
022.txt	184186	194206
023.txt	264681	258223
024.txt	33010	32286
025.txt	788088	791201
026.txt	710772	793314
027.txt	230593	207450
028.txt	241315	157359
029.txt	4422549	2718304
030.txt	1887519	1448334
031.txt	4152594	4322388
032.txt	7556130	5331954
033.txt	7414259	6877296
034.txt	5290128	5072663
035.txt	5441763	5214856
036.txt	5374895	5172822
037.txt	5003090	4861145
038.txt	110592	20864
039.txt	388080	35168
040.txt	359952	349072
