001.txt	117275	284840
002.txt	6835199	15820795
003.txt	1367999	5255995
004.txt	30988	118039
005.txt	2041506	2430294
006.txt	4079	15659
007.txt	3412	12990
008.txt	7485	28576
009.txt	3772	14454
010.txt	4833	18397
011.txt	2883	10696
012.txt	21985	85120
013.txt	24346	94380
014.txt	55897	215769
015.txt	90390	349363
016.txt	135285	523070
017.txt	221245	855840
018.txt	391595	1513738
019.txt	940745	3637256
020.txt	10556	39624
021.txt	1859258	7150279
022.txt	184186	707996
023.txt	264681	1020663
024.txt	33010	128834
025.txt	788088	3009728
026.txt	710772	2517859
027.txt	230593	886687
028.txt	241315	950173
029.txt	4422549	16407764
030.txt	1887519	7383973
031.txt	4152594	16025025
032.txt	7556130	29446814
033.txt	7414259	29180781
034.txt	5290128	20813551
035.txt	5441763	21409931
036.txt	5374895	21133166
037.txt	5003090	19685117
038.txt	110592	238983
039.txt	388080	63514
040.txt	359952	1247769
